match_id,utc_date,status,competition,season_start,season_end,home_team,away_team,score_home,score_away
535135,2025-08-26 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Flamengo,EC Vitória,8.0,0.0
535153,2025-08-30 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Ceará SC,EC Juventude,0.0,1.0
535146,2025-08-30 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Botafogo FR,RB Bragantino,4.0,1.0
535150,2025-08-31 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Cruzeiro EC,São Paulo FC,1.0,0.0
535145,2025-08-31 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Flamengo,Grêmio FBPA,1.0,1.0
535148,2025-08-31 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Santos FC,Fluminense FC,0.0,0.0
535147,2025-08-31 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Corinthians Paulista,SE Palmeiras,1.0,1.0
535149,2025-08-31 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Mirassol FC,EC Bahia,5.0,1.0
535152,2025-08-31 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Vitória,CA Mineiro,1.0,0.0
535151,2025-08-31 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Internacional,Fortaleza EC,2.0,1.0
535154,2025-08-31 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Recife,CR Vasco da Gama,2.0,3.0
535161,2025-09-13 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Grêmio FBPA,Mirassol FC,0.0,1.0
535163,2025-09-13 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fortaleza EC,EC Vitória,2.0,0.0
535157,2025-09-13 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SE Palmeiras,SC Internacional,4.0,1.0
535155,2025-09-14 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fluminense FC,SC Corinthians Paulista,0.0,1.0
535159,2025-09-14 14:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,RB Bragantino,SC Recife,1.0,1.0
535160,2025-09-14 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CA Mineiro,Santos FC,1.0,1.0
535164,2025-09-14 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Juventude,CR Flamengo,0.0,2.0
535158,2025-09-14 20:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,São Paulo FC,Botafogo FR,1.0,0.0
535156,2025-09-14 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Vasco da Gama,Ceará SC,2.0,2.0
535162,2025-09-15 23:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Bahia,Cruzeiro EC,1.0,2.0
535046,2025-09-17 22:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Botafogo FR,Mirassol FC,3.0,3.0
535172,2025-09-20 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Vitória,Fluminense FC,0.0,1.0
535166,2025-09-20 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Botafogo FR,CA Mineiro,1.0,0.0
535173,2025-09-20 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Ceará SC,EC Bahia,1.0,1.0
535167,2025-09-21 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SE Palmeiras,Fortaleza EC,4.0,1.0
535169,2025-09-21 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Mirassol FC,EC Juventude,2.0,0.0
535165,2025-09-21 20:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Flamengo,CR Vasco da Gama,1.0,1.0
535171,2025-09-21 20:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Internacional,Grêmio FBPA,2.0,3.0
535174,2025-09-21 20:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Recife,SC Corinthians Paulista,1.0,0.0
535168,2025-09-21 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Santos FC,São Paulo FC,1.0,0.0
535170,2025-09-21 23:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Cruzeiro EC,RB Bragantino,2.0,1.0
535086,2025-09-24 22:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Vasco da Gama,EC Bahia,,
535091,2025-09-24 22:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Grêmio FBPA,Botafogo FR,,
535183,2025-09-27 19:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fortaleza EC,SC Recife,,
535176,2025-09-27 21:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Vasco da Gama,Cruzeiro EC,,
535184,2025-09-27 21:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Juventude,SC Internacional,,
535180,2025-09-28 00:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CA Mineiro,Mirassol FC,,
535181,2025-09-28 14:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Grêmio FBPA,EC Vitória,,
535175,2025-09-28 19:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fluminense FC,Botafogo FR,,
535182,2025-09-28 19:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Bahia,SE Palmeiras,,
535179,2025-09-28 21:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,RB Bragantino,Santos FC,,
535177,2025-09-28 23:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Corinthians Paulista,CR Flamengo,,
535178,2025-09-29 23:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,São Paulo FC,Ceará SC,,
535190,2025-10-01 00:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CA Mineiro,EC Juventude,,
535187,2025-10-01 22:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SE Palmeiras,CR Vasco da Gama,,
535189,2025-10-01 22:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Mirassol FC,RB Bragantino,,
535194,2025-10-01 22:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Recife,Fluminense FC,,
535191,2025-10-01 22:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Internacional,SC Corinthians Paulista,,
535186,2025-10-02 00:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Botafogo FR,EC Bahia,,
535188,2025-10-02 00:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Santos FC,Grêmio FBPA,,
535192,2025-10-02 22:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Vitória,Ceará SC,,
535193,2025-10-02 22:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fortaleza EC,São Paulo FC,,
535185,2025-10-02 23:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Flamengo,Cruzeiro EC,,
535195,2025-10-04 21:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fluminense FC,CA Mineiro,,
535199,2025-10-04 21:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,RB Bragantino,Grêmio FBPA,,
535201,2025-10-04 21:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Internacional,Botafogo FR,,
535197,2025-10-05 00:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Corinthians Paulista,Mirassol FC,,
535196,2025-10-05 19:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Vasco da Gama,EC Vitória,,
535198,2025-10-05 19:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,São Paulo FC,SE Palmeiras,,
535202,2025-10-05 21:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Bahia,CR Flamengo,,
535204,2025-10-05 21:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Juventude,Fortaleza EC,,
535200,2025-10-05 23:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Cruzeiro EC,SC Recife,,
535203,2025-10-05 23:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Ceará SC,Santos FC,,
535070,2025-10-08 22:30:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CA Mineiro,SC Recife,,
535059,2025-10-09 00:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Mirassol FC,Fluminense FC,,
535047,2025-10-11 22:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SE Palmeiras,EC Juventude,,
535072,2025-10-22 22:00:00+00:00,TIMED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Bahia,SC Internacional,,
535205,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fluminense FC,EC Juventude,,
535206,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Botafogo FR,CR Flamengo,,
535207,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SE Palmeiras,RB Bragantino,,
535208,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Santos FC,SC Corinthians Paulista,,
535209,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Mirassol FC,SC Internacional,,
535210,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CA Mineiro,Cruzeiro EC,,
535211,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Grêmio FBPA,São Paulo FC,,
535212,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Vitória,EC Bahia,,
535213,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fortaleza EC,CR Vasco da Gama,,
535214,2025-10-25 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Recife,Ceará SC,,
535215,2025-11-05 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Flamengo,SE Palmeiras,,
535216,2025-11-05 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Vasco da Gama,Fluminense FC,,
535217,2025-11-05 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Corinthians Paulista,CA Mineiro,,
535218,2025-11-05 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Santos FC,EC Vitória,,
535219,2025-11-05 00:00:00+00:00,SCHEDULED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Mirassol FC,São Paulo FC,,
